Applicant_ID,Applicant_Name,Age,Gender,City,Region,Employment_Type,Education,Marital_Status,Annual_Income,Credit_Score,Dependents,Years_At_Job,Own_House
APP00001,Kavita Mishra,42,Male,Faridabad,North,Salaried,Post Graduate,Single,695112.0,698.0,1,0,Yes
APP00002,manoj joshi,53,Female,Bhubaneswar,East,Self-Employed,Doctorate,Divorced,1186969.0,761.0,0,4,Yes
APP00003,Nitin Nair,33,Female,Kolkata,East,Salaried,Post Graduate,Divorced,817660.0,648.0,1,1,Yes
APP00004,Rahul Mishra,33,Female,Gurgaon,North,Self-Employed,Post Graduate,Divorced,332988.0,680.0,0,1,Yes
APP00005,Pooja Bose,27,Male,Pune,West,Government Employee,Graduate,Single,601850.0,605.0,2,2,No
APP00006,Harish Yadav,23,Female,Bangalore,South,Salaried,Graduate,Married,486694.0,669.0,2,2,Yes
APP00007,Meena Mishra,32,Female,Bhubaneswar,East,Government Employee,Doctorate,Widowed,788302.0,611.0,0,0,No
APP00008,Vikram Joshi,41,Male,Kolkata,East,Government Employee,Doctorate,Divorced,670958.0,711.0,0,0,No
APP00009,Amit Joshi,31,Male,Bhubaneswar,East,Self-Employed,Doctorate,Married,1564546.0,729.0,1,0,No
APP00010,Rekha Reddy,27,Male,Pune,West,Government Employee,High School,Single,402140.0,654.0,0,4,No
APP00011,Vijay Roy,40,Male,Noida,North,Government Employee,Graduate,Married,226654.0,561.0,2,13,No
APP00012,Sneha Mishra,39,Male,Mysore,South,Freelancer,Doctorate,Single,732795.0,,1,10,Yes
APP00013,Vikram Mishra,36,Male,Gurgaon,North,Business Owner,High School,Widowed,851602.0,601.0,3,7,No
APP00014,Meena Das,30,Male,Faridabad,North,Salaried,Doctorate,Divorced,597597.0,608.0,0,3,No
APP00015,Vijay Das,41,Male,Nashik,West,Self-Employed,Doctorate,Single,1027580.0,658.0,0,0,No
APP00016,Geeta Gupta,44,Female,Pune,West,Freelancer,Doctorate,Widowed,787318.0,718.0,2,5,No
APP00017,Rajesh Rao,29,Male,Bhopal,Central,Freelancer,Graduate,Married,453618.0,656.0,0,1,Yes
APP00018,Rekha Singh,47,Male,Noida,North,Self-Employed,High School,Single,597344.0,640.0,3,1,Yes
APP00019,Harish Joshi,46,Female,Indore,Central,Government Employee,Post Graduate,Single,883779.0,679.0,0,0,No
APP00020,Rahul Tiwari,48,Male,Jaipur,Central,Government Employee,High School,Divorced,600538.0,701.0,0,3,Yes
APP00021,Suresh Kumar,37,Female,Chennai,South,Salaried,Graduate,Divorced,881635.0,547.0,4,0,No
APP00022,Prakash Joshi,46,Female,Gurgaon,North,Salaried,Doctorate,Widowed,584624.0,711.0,0,2,Yes
APP00023,Prakash Nair,35,Female,Noida,North,Self-Employed,High School,Single,725707.0,738.0,2,1,No
APP00024,Sachin Tiwari,32,Male,Thane,West,Salaried,Post Graduate,Married,681810.0,638.0,3,0,Yes
APP00025,Divya Mishra,47,Male,Pune,West,Business Owner,Doctorate,Widowed,1798350.0,730.0,2,8,No
APP00026,Sunita Gupta,43,Male,Thane,West,Self-Employed,High School,Divorced,969246.0,697.0,0,9,Yes
APP00027,Priya Kumar,30,Male,Bangalore,South,Self-Employed,Post Graduate,Married,881361.0,655.0,2,6,Yes
APP00028,Meena Das,23,Male,Bhubaneswar,East,Salaried,Graduate,Divorced,150000.0,630.0,3,1,No
APP00029,Rajesh Das,34,Female,Kolkata,East,Business Owner,,Divorced,911180.0,671.0,1,2,No
APP00030,Arun Bose,42,Female,Indore,Central,Government Employee,Post Graduate,Divorced,504395.0,721.0,2,14,Yes
APP00031,Divya Gupta,21,Female,Thane,West,Business Owner,Graduate,Married,1190455.0,698.0,3,0,No
APP00032,Ajay Sharma,62,Male,Kolkata,East,Self-Employed,Graduate,Widowed,914660.0,680.0,0,1,Yes
